H14-3496,Westerwolde,Rechtstreeks,Rechtstreeks,Groningen,SRC-094,Westerwolde_Coalitieakkoord_2026-2030.pdf,5,,"Daarvoor versterken we het vestigingsklimaat, verminderen we de regeldruk, benutten we de kansen van de Nedersaksenlijn",T03,"T03: Spoor, stations, tram en metro","Noaberschap en gemeenschapsvoorzieningen, verenigingsleven en sport",2,2,Beleidsopdracht,,Ja,H14 volledige paginatekstscan
H14-3497,Westerwolde,Rechtstreeks,Rechtstreeks,Groningen,SRC-094,Westerwolde_Coalitieakkoord_2026-2030.pdf,5,,"Programma 2: Kansen om te groeien in Westerwolde Ambitie Westerwolde heeft een sterke, toekomstbestendige vitale economie waarin ondernemers de ruimte hebben om te groeien, te vernieuwen en bij te dragen aan leefbare dorpen. Daarvoor versterken we het vestigingsklimaat, verminderen we de regeldruk, benutten we de kansen van de Nedersaksenlijn",T03; T11,"T03: Spoor, stations, tram en metro; T11: Visies, programma’s en uitvoering","Noaberschap en gemeenschapsvoorzieningen, verenigingsleven en sport",2,2,Beleidsopdracht,,Ja,H14 volledige paginatekstscan
H14-3498,Westerwolde,Rechtstreeks,Rechtstreeks,Groningen,SRC-094,Westerwolde_Coalitieakkoord_2026-2030.pdf,6,,In Westerwolde kan iedereen passend wonen in leefbare dorpen en wijken en de gebiedsontwikkeling in Ter Apel sluit aan op de komst van de Nedersaksenlijn.,T03,"T03: Spoor, stations, tram en metro",,1,3,Probleem,,Ja,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-3499,Westerwolde,Rechtstreeks,Rechtstreeks,Groningen,SRC-094,Westerwolde_Coalitieakkoord_2026-2030.pdf,6,,In voorkomende gevallen zal maatwerk worden geboden. Programma 3: Goed wonen in Westerwolde Ambitie In Westerwolde kan iedereen passend wonen in leefbare dorpen en wijken en de gebiedsontwikkeling in Ter Apel sluit aan op de komst van de Nedersaksenlijn.,T03; T06; T11,"T03: Spoor, stations, tram en metro; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling; T11: Visies, programma’s en uitvoering","moet bijdragen aan werkgelegenheid, versterking van de regionale economie en een",2,2,Beleidsopdracht,,Ja,H14 volledige paginatekstscan
H14-3500,Westerwolde,Rechtstreeks,Rechtstreeks,Groningen,SRC-094,Westerwolde_Coalitieakkoord_2026-2030.pdf,7,,"Daar waar ons de mogelijkheid wordt geboden om extra woningen te bouwen in het kader van de komst van de Nedersaksenlijn, zetten we ons maximaal in voor realisatie van die aantallen.",T03,"T03: Spoor, stations, tram en metro",,2,3,Beleidsopdracht,Investering,Ja,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-3501,Westerwolde,Rechtstreeks,Rechtstreeks,Groningen,SRC-094,Westerwolde_Coalitieakkoord_2026-2030.pdf,7,,"Daar waar het lopende regionale woningmarktonderzoek leidt tot hogere aantallen te bouwen woningen, zijn de nieuwe getallen leidend. e Daar waar ons de mogelijkheid wordt geboden om extra woningen te bouwen in het kader van de komst van de Nedersaksenlijn, zetten we ons maximaal in voor realisatie van die aantallen. e We geven bij nieuwe woningen specifiek aandacht aan starters en senioren.",T03; T11,"T03: Spoor, stations, tram en metro; T11: Interbestuurlijke samenwerking",waar het lopende regionale woningmarktonderzoek leidt tot hogere aantallen te bouwen,2,2,Samenwerkingsvraag,,Ja,H14 volledige paginatekstscan
H14-3502,Westerwolde,Rechtstreeks,Rechtstreeks,Groningen,SRC-094,Westerwolde_Coalitieakkoord_2026-2030.pdf,7,,"Daar waar het lopende regionale woningmarktonderzoek leidt tot hogere aantallen te bouwen woningen, zijn de nieuwe getallen leidend. e Daar waar ons de mogelijkheid wordt geboden om extra woningen te bouwen in het kader van de komst van de Nedersaksenlijn, zetten we ons maximaal in voor realisatie van die aantallen. e We geven bij nieuwe woningen specifiek aandacht aan starters en senioren. Ruimtelijke ordening/-ontwikkeling en grondzaken e We willen het instrument voorkeursrecht blijvend actief inzetten voor gebieden waar we ontwikkelingen voorzien of om verpauperde plekken aan te kunnen pakken.",T03; T06; T11,"T03: Spoor, stations, tram en metro; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling; T11: Interbestuurlijke samenwerking",waar het lopende regionale woningmarktonderzoek leidt tot hogere aantallen te bouwen,2,2,Samenwerkingsvraag,,Ja,H14 volledige paginatekstscan
H14-3503,Westerwolde,Rechtstreeks,Rechtstreeks,Groningen,SRC-094,Westerwolde_Coalitieakkoord_2026-2030.pdf,7,,"Gebiedsontwikkeling Ter Apel en overige kernen e De ontwikkeling van Ter Apel wordt benaderd als een samenhangend geheel van onder andere het centrumplan, de verbinding van het centrum met de kloosterenclave, de gebiedsontwikkeling Nedersaksenlijn et cetera.",T03; T06,"T03: Spoor, stations, tram en metro; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling",waar het lopende regionale woningmarktonderzoek leidt tot hogere aantallen te bouwen,2,2,Beleidsopdracht,,Ja,H14 volledige paginatekstscan
H14-3504,Westerwolde,Rechtstreeks,Rechtstreeks,Groningen,SRC-094,Westerwolde_Coalitieakkoord_2026-2030.pdf,7,,"Gebiedsontwikkeling Ter Apel en overige kernen e De ontwikkeling van Ter Apel wordt benaderd als een samenhangend geheel van onder andere het centrumplan, de verbinding van het centrum met de kloosterenclave, de gebiedsontwikkeling Nedersaksenlijn et cetera. Voor deze langjarige ontwikkeling leveren we een programmering op die in de loop van de collegeperiode in uitvoering is.",T03; T06; T11,"T03: Spoor, stations, tram en metro; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling; T11: Visies, programma’s en uitvoering",waar het lopende regionale woningmarktonderzoek leidt tot hogere aantallen te bouwen,2,2,Beleidsopdracht,,Ja,H14 volledige paginatekstscan
H14-3505,Westerwolde,Rechtstreeks,Rechtstreeks,Groningen,SRC-094,Westerwolde_Coalitieakkoord_2026-2030.pdf,7,,Programma 4: Goed Bereikbaar Westerwolde Ambitie De komst van de Nedersaksenlijn is onze topprioriteit.,T03; T11,"T03: Spoor, stations, tram en metro; T11: Visies, programma’s en uitvoering",waar het lopende regionale woningmarktonderzoek leidt tot hogere aantallen te bouwen,1,1,Lokale kwestie,,Ja,H14 volledige paginatekstscan
