H14-1796,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,SRC-040,Heerlen.pdf,30,,Onze overkoepelende ambitie is een volledig rolstoeltoegankelijke infrastructuur én openbaar vervoer;,T03,T03: Bus en openbaar vervoer,"• We ondersteunen verenigingen bij samenwerking, vrijwilligersbeleid, kaderontwikkeling, continuïteit en",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1797,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,SRC-040,Heerlen.pdf,30,,Ook onderzoeken we in hoeverre aanloopstraten naar Heerlen-Centrum zoveel mogelijk ingericht kunnen worden als 30 km/u zones;,T01; T11,"T01: Veilige inrichting en snelheid; T11: Kennis, data, monitoring en capaciteit","• We ondersteunen verenigingen bij samenwerking, vrijwilligersbeleid, kaderontwikkeling, continuïteit en",2,2,Kennis- of capaciteitsvraag,,Nee,H14 volledige paginatekstscan
H14-1798,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,SRC-040,Heerlen.pdf,30,,"We blijven daarom investeren in verkeersveiligheid, betrouwbare verbindingen en betere routes voor lopen en fietsen, terwijl we tegelijk oog houden voor automobiliteit en praktisch parkeerbeleid.",T01; T02; T04; T05,"T01: Overig binnen afbakening; T02: Voetgangersnetwerk en lopen; T04: Doorstroming, verkeersdruk en ontsluiting; T05: Overig binnen afbakening","• We ondersteunen verenigingen bij samenwerking, vrijwilligersbeleid, kaderontwikkeling, continuïteit en",2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1799,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,SRC-040,Heerlen.pdf,30,,"We blijven daarom investeren in verkeersveiligheid, betrouwbare verbindingen en betere routes voor lopen en fietsen, terwijl we tegelijk oog houden voor automobiliteit en praktisch parkeerbeleid. Niet iedere wijk of doelgroep vraagt dezelfde oplossing. Daarom kiezen we voor maatwerk, gekoppeld aan woningbouw, gebiedsontwikkeling en verbetering van ons vestigingsklimaat.",T01; T02; T04; T05; T06,"T01: Overig binnen afbakening; T02: Voetgangersnetwerk en lopen; T04: Doorstroming, verkeersdruk en ontsluiting; T05: Overig binnen afbakening; T06: Mobiliteit bij woningbouw en gebiedsontwikkeling","• We ondersteunen verenigingen bij samenwerking, vrijwilligersbeleid, kaderontwikkeling, continuïteit en",2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1800,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,SRC-040,Heerlen.pdf,30,,We breiden 30 km/u-zones uit waar dit aantoonbaar bijdraagt aan veiligheid en leefbaarheid.,T01; T06,"T01: Veilige inrichting en snelheid; T06: Leefbaarheid, gezondheid en ruimtelijke kwaliteit","• We ondersteunen verenigingen bij samenwerking, vrijwilligersbeleid, kaderontwikkeling, continuïteit en",2,2,Beleidsopdracht,,Nee,H14 volledige paginatekstscan
H14-1801,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,SRC-040,Heerlen.pdf,30,,We geven fiets- en OV-vriendelijkheid van Heerlen deze bestuursperiode een impuls.,T02; T03,T02: Fietsnetwerk en routekwaliteit; T03: Bus en openbaar vervoer,"• We ondersteunen verenigingen bij samenwerking, vrijwilligersbeleid, kaderontwikkeling, continuïteit en",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1802,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,SRC-040,Heerlen.pdf,30,,"We geven fiets- en OV-vriendelijkheid van Heerlen deze bestuursperiode een impuls. Dit doen we niet alleen tussen wijken, maar ook van woonwijken naar natuur en economische clusters als Avantis en Trilandis.",T02; T03; T06,T02: Fietsnetwerk en routekwaliteit; T03: Bus en openbaar vervoer; T06: Overig binnen afbakening,"• We ondersteunen verenigingen bij samenwerking, vrijwilligersbeleid, kaderontwikkeling, continuïteit en",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1803,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,SRC-040,Heerlen.pdf,30,,We kijken hierbij prioritair naar verkeersveiligheid voor spelende kinderen en lopende of fietsende scholieren en ouderen.,T01; T02,T01: Schoolroutes en kwetsbare verkeersdeelnemers; T02: Voetgangersnetwerk en lopen,"• We ondersteunen verenigingen bij samenwerking, vrijwilligersbeleid, kaderontwikkeling, continuïteit en",1,1,Lokale kwestie,,Nee,H14 volledige paginatekstscan
H14-1804,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,SRC-040,Heerlen.pdf,30,,"Wel verruilen we het recente besluit om fietsen in de gehele binnenstad tijdens winkeluren te weren voor een gerichtere aanpak, waarbij beperkingen zich concentreren op drukke winkelstraten en voldoende ruimte blijft voor bereikbaarheid, veiligheid en een levendig stadscentrum;",T02,T02: Fietsnetwerk en routekwaliteit,"• We ondersteunen verenigingen bij samenwerking, vrijwilligersbeleid, kaderontwikkeling, continuïteit en",1,1,Probleem,,Nee,H14 volledige paginatekstscan
H14-1805,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,SRC-040,Heerlen.pdf,31,,"We omarmen deelmobiliteit als waardevolle aanvulling op openbaar vervoer, lopen en fietsen. Vooral in en rond Heerlen-Centrum benutten we kansen waar deelmobiliteit de bereikbaarheid vergroot, ruimte vrijspeelt en bijdraagt aan een aantrekkelijker stedelijk milieu;",T02; T03; T07,T02: Voetgangersnetwerk en lopen; T03: Bus en openbaar vervoer; T07: Deelmobiliteit,,1,2,Innovatie of kans,Lokale kwestie,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
H14-1806,Heerlen,Via regio,RMO Zuid-Limburg,Limburg,SRC-040,Heerlen.pdf,31,,We blijven regionaal inzetten op verbetering van de N281 en andere strategische verbindingen.,T04; T11,"T04: Hoofdwegen, corridors en aansluitingen; T11: Interbestuurlijke samenwerking",,2,2,Samenwerkingsvraag,Lokale kwestie,Nee,Eerder gevalideerd bewijsanker; H14 herbevestigd
