Beverwijk,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-018,Beverwijk.pdf,T09,"Goederenvervoer, logistiek en bijzondere vervoersstromen",2,2,2,4,H14-0635; H14-0657; H14-0658; H14-0659,7; 11,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Beverwijk,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-018,Beverwijk.pdf,T10,"Beheer, onderhoud en civiele infrastructuur",2,1,1,1,H14-0672,25,H14 gerichte anomaliecontrole volgens inclusie-/exclusieregel
Beverwijk,Rechtstreeks,Rechtstreeks,Noord-Holland,SRC-018,Beverwijk.pdf,T11,"Uitvoering, samenwerking, financiering en kennis",3,3,3,8,H14-0634; H14-0641; H14-0645; H14-0656; H14-0661; H14-0663; H14-0665; H14-0671,7; 9; 15; 21; 23,H14 volledige herlezing; gevalideerde eerdere codering plus nieuwe passages
Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,T01,Verkeersveiligheid en veilig verkeersgedrag,3,3,3,11,H14-0674; H14-0676; H14-0677; H14-0690; H14-0702; H14-0703; H14-0707; H14-0708; H14-0714; H14-0740; H14-0746,5; 7; 14; 15; 18; 21,H14 tweede volledige lezing (aselecte controleset)
Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,T02,"Lopen, fietsen en actieve mobiliteit",3,3,3,32,H14-0673; H14-0674; H14-0676; H14-0681; H14-0690; H14-0691; H14-0692; H14-0693; H14-0694; H14-0695; H14-0696; H14-0697; H14-0699; H14-0701; H14-0706; H14-0710; H14-0711; H14-0720; H14-0721; H14-0729; H14-0730; H14-0736; H14-0738; H14-0739; H14-0741; H14-0743; H14-0744; H14-0747; H14-0750; H14-0752; H14-0754; H14-0758,3; 5; 10; 14; 15; 16; 17; 18; 21; 29; 36; 42,H14 tweede volledige lezing (aselecte controleset)
Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,T03,"Openbaar, collectief en vraagafhankelijk vervoer",2,3,3,9,H14-0674; H14-0676; H14-0690; H14-0695; H14-0696; H14-0700; H14-0711; H14-0751; H14-0753,5; 14; 15; 23; 36,H14 tweede volledige lezing (aselecte controleset)
Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,T04,"Autoverkeer, wegennet, doorstroming en ontsluiting",3,3,2,10,H14-0682; H14-0685; H14-0690; H14-0698; H14-0704; H14-0709; H14-0713; H14-0731; H14-0748; H14-0749,10; 14; 15; 16; 21,H14 tweede volledige lezing (aselecte controleset)
Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,T05,Parkeren en ruimte voor stilstaande mobiliteit,3,3,3,28,H14-0674; H14-0676; H14-0679; H14-0680; H14-0684; H14-0687; H14-0688; H14-0695; H14-0696; H14-0715; H14-0716; H14-0717; H14-0719; H14-0724; H14-0725; H14-0726; H14-0728; H14-0732; H14-0733; H14-0735; H14-0736; H14-0740; H14-0752; H14-0757; H14-0759; H14-0760; H14-0763; H14-0764,5; 8; 10; 11; 14; 16; 18; 29; 42; 43,H14 tweede volledige lezing (aselecte controleset)
Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,T06,"Mobiliteit in ruimte, woningbouw en leefomgeving",3,3,2,10,H14-0676; H14-0678; H14-0682; H14-0685; H14-0688; H14-0689; H14-0695; H14-0699; H14-0740; H14-0747,5; 8; 10; 11; 13; 14; 15; 18; 21,H14 tweede volledige lezing (aselecte controleset)
Breda,Rechtstreeks,Rechtstreeks,Noord-Brabant,SRC-019,Breda.pdf,T07,"Duurzame, gedeelde en slimme mobiliteit",3,3,2,12,H14-0674; H14-0690; H14-0711; H14-0718; H14-0722; H14-0723; H14-0727; H14-0734; H14-0735; H14-0736; H14-0737; H14-0765,5; 14; 15; 16; 43,H14 tweede volledige lezing (aselecte controleset)
