,,,,,,,,,,
Openbare GNMI-bronnen van de vastgezette matrix,,,,,,,,,,
"URL, paginatitel, publicatiedatum en raadpleegdatum uit fase 1. De matrix is na vaststelling niet aangepast.",,,,,,,,,,
,,,,,,,,,,
S01,GNMI-website,https://gnmi.nl/over/gnmi,Over het GNMI,Niet vermeld (doorlopende pagina),2026-08-27,Ja,Structurele basis,"GNMI positioneert kennisuitwisseling, beleidsafstemming en samenwerking rond verkeersveiligheid, OV, parkeren, taxi en stadslogistiek, met strategische aandacht voor klimaat, woningbouw, data, ruimte en participatie.",C1-C5; D1-D6,Statische pagina; publicatiedatum niet zichtbaar.
S02,Overzicht groepen,https://gnmi.nl/over/groepen,Over de netwerkgroepen,Niet vermeld (doorlopende pagina),2026-08-27,Ja,Structurele basis,"Officiële lijst en positionering van de inhoudelijke groepen, de subwerkgroep Geluidsoverlast en de bestuurlijke organen.",C1-C5; W1-W5; B1,Hoofdbron voor formele/structurele indeling.
S03,Kalender,https://gnmi.nl/kalender,Kalender,Niet vermeld (doorlopende pagina),2026-08-27,Ja,Activiteitenoverzicht,"Openbare kalender maakt terugkerende activiteit zichtbaar voor Mobiliteit, Verkeersveiligheid, Parkeren, OV, Taxi, Stadslogistiek, DB en AV.",C1-C5; W1-W3; B1,Een kalenderfilter is geen zelfstandige inhoudelijke prioriteit.
S04,Nieuws,https://gnmi.nl/nieuws,Nieuws,Niet vermeld (doorlopende pagina),2026-08-27,Ja,Taxonomie/actualiteit,"Publieke themataxonomie omvat onder meer delen, fiets/lopen, OV, parkeren, logistiek, taxi, veiligheid, wegverkeer, zero-emissie, data, samenwerking, bestuur, juridische zaken en wetenschap.",C1-C5; W1-W5; D1-D6,Nieuws van gemeenten is ondersteunend en niet automatisch GNMI-prioriteit.
S05,Groepspagina,https://gnmi.nl/content/156-gnmi-mobiliteit,GNMI Mobiliteit,Niet vermeld (doorlopende pagina),2026-08-27,Ja,Structurele basis,"Integraal bereik: strategie, organisatie, ruimte, bereikbaarheid, klimaat, financiering, data, onderzoek en alle modaliteiten.",C1-C5; D1-D6,Open groep.
S06,Groepspagina,https://gnmi.nl/content/177-gnmi-wetenschap,GNMI Wetenschap,Niet vermeld (doorlopende pagina),2026-08-27,Ja,Structurele basis,Verbindt onderzoekers en gemeentelijke beleidspraktijk; presentaties lopen via andere GNMI-groepen en jaarlijks mini-seminar.,C1; C2; C5,Geen vast vergaderritme is onderdeel van het ontwerp.
S07,Groepspagina,https://gnmi.nl/netwerkgroep/14-gnmi-verkeersjuridische-zaken,GNMI Verkeersjuridische Zaken,Niet vermeld (doorlopende pagina),2026-08-27,Ja,Structurele basis,"Formele semi-open expertgroep, opgericht 31 oktober 2022, voor verkeersjuridische kennis en casuïstiek.",C1; C5; W4,Details aanvullend ontleend aan het groepenoverzicht.
S08,Groepspagina,https://gnmi.nl/content/159-gnmi-ov,GNMI OV,Niet vermeld (doorlopende pagina),2026-08-27,Ja,Structurele basis,"OV-groep omvat haltes, delen, GOW30, doelgroepenvervoer, stations, gemeentelijke rol, data, brede welvaart en hubs.",C2; C3; C4; C5; D1-D3; D5-D6,Besloten groep; openbare themabeschrijving gebruikt.
S09,Groepspagina,https://gnmi.nl/content/162-gnmi-verkeersveiligheid,GNMI Verkeersveiligheid,Niet vermeld (doorlopende pagina),2026-08-27,Ja,Structurele basis,"Maandelijkse groep met risicogestuurd beleid, 30 km, scholen, gedrag, data/ITS/ISA, handhaving, organisatie en financiering.",C1; C5; D2; D4; D6,Besloten groep; openbare themabeschrijving gebruikt.
S10,Groepspagina,https://gnmi.nl/content/165-gnmi-taxi,GNMI Taxi,Niet vermeld (doorlopende pagina),2026-08-27,Ja,Structurele basis,"Straattaxi: handhaving, wetgeving, standplaatsen, informatie-uitwisseling, tarieven en zero-emissie.",C3; W1; D1-D2; D4-D5,Specifiek werkterrein.
